Instr (PE 5 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 6 - WRITE_MEM) Ciclos totales: 23 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 23 ciclos, Bytes: 92, Metrica BW: 4
Instr (PE 1 - WRITE_RESP) Ciclos totales: 16 ciclos, En cola: 13 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.562
Instr (PE 6 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 1 - WRITE_MEM) Ciclos totales: 31 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 31 ciclos, Bytes: 124, Metrica BW: 4
Instr (PE 7 - WRITE_MEM) Ciclos totales: 31 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 31 ciclos, Bytes: 124, Metrica BW: 4
Instr (PE 3 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 1 - WRITE_RESP) Ciclos totales: 11 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.818
Instr (PE 7 - WRITE_RESP) Ciclos totales: 11 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.818
Instr (PE 3 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 4 - WRITE_MEM) Ciclos totales: 34 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 34 ciclos, Bytes: 136, Metrica BW: 4
Instr (PE 2 - WRITE_MEM) Ciclos totales: 24 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 24 ciclos, Bytes: 96, Metrica BW: 4
Instr (PE 4 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 2 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 1 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 4 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 6 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 1 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 6
Instr (PE 4 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 6
Instr (PE 6 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 3 - WRITE_MEM) Ciclos totales: 27 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 27 ciclos, Bytes: 108, Metrica BW: 4
Instr (PE 3 - WRITE_RESP) Ciclos totales: 9 ciclos, En cola: 6 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 1
Instr (PE 3 - BROADCAST_INVALIDATE) Ciclos totales: 132 ciclos, En cola: 123 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 0.091
